epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_micro_f1,val_exact_match,lr
1,0.9261611641970449,0.4039354505847283,0.8263994247811018,0.7713963967122662,0.40641019910497006,0.4409525352340839,0.14043455219925807,0.0003
2,0.7778892473900053,0.5863764044807144,0.8043732250185321,0.776165874249479,0.42817054443128844,0.46845996539248075,0.1192368839427663,0.0003
3,0.7022991922573605,0.6391022701078641,0.8778835380273201,0.8081611032263589,0.46117945886926925,0.49441340782122906,0.18494965553789083,0.0003
4,0.6584743702802547,0.6696571887045163,0.8021095732437219,0.7855060969513437,0.44357024982558874,0.4772360348724572,0.14626391096979333,0.0003
5,0.595989306594658,0.70264847509305,0.9643081261420541,0.8232644441017855,0.4503394700897142,0.5044576523031203,0.2363540010598834,0.0003
6,0.5622095721928632,0.7297924787892686,0.8753396769680545,0.8271065214732746,0.47084562495905624,0.5237226277372263,0.2474827768945416,0.0003
7,0.5210343826612566,0.7491831002200423,0.9400187674880217,0.8225357733394459,0.45725385484829517,0.5106849315068493,0.24483306836248012,0.0003
8,0.5015865988316981,0.7634716807934867,0.9712715222523461,0.8204160056609481,0.44605075847033293,0.4903177288964091,0.25013248542660305,0.0003
9,0.496333009167238,0.763070396739008,1.0449412174179369,0.8318759959781366,0.4730075283631162,0.5158336512781381,0.27450980392156865,0.0003
10,0.42990392325559196,0.7971795459893612,1.0167489404013754,0.8316772666379264,0.4921272702522233,0.528658875904285,0.255431902490726,0.0003
11,0.4171791800840872,0.8095620270716819,1.1365474358903838,0.8368441986229032,0.4929453847095484,0.5247925911634189,0.27344992050874406,0.0003
12,0.38977093431168375,0.8221451501949094,1.2231984717478244,0.8349894023030033,0.505227303996519,0.5252525252525253,0.2692103868574457,0.0003
13,0.36848320717850946,0.8325068791971598,1.291628567864166,0.840752518265476,0.5160524173689741,0.5293657008613939,0.2962374138844727,0.0003
14,0.34711805499220516,0.8418367347485481,1.3383001784957396,0.8496952855403801,0.5130855669844929,0.5418938017363214,0.3264440911499735,0.0003
15,0.3324251015288544,0.8532160055579956,1.2850200081541225,0.848039216823406,0.5016964681042471,0.5310711365494685,0.32114467408585057,0.0003
16,0.30963477765685565,0.86521153401082,1.4537048402070114,0.8455882376631417,0.497786062013007,0.5259304453935326,0.3174350821409645,0.00015
17,0.27474474081395006,0.8786258885166673,1.5681781200233058,0.852344993156419,0.5109842293824398,0.5268520483973679,0.35347111817700055,0.00015
18,0.24719524664073547,0.8926851640078923,1.543530238514927,0.8563857996154223,0.5151475533273233,0.5511387163561077,0.35506094329623744,0.00015
