epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_micro_f1,val_exact_match,lr
1,1.1553725868812041,0.2058587480072471,1.0920969664766225,0.6010863806560801,0.2343924840219645,0.24593037816178312,0.0042395336512983575,0.0003
2,1.1367489217591105,0.22563632194450814,1.058349656218502,0.6477212513889279,0.27784898703119365,0.3244410569105691,0.009538950715421303,0.0003
3,1.1088412209022922,0.2507452419101577,1.0383440809206919,0.6799814539354948,0.2990647715708268,0.35197853789403083,0.022257551669316374,0.0003
4,1.0871483939034599,0.27088110528525833,1.028121043938332,0.6479199798131153,0.3187992593438331,0.3506414172266341,0.003179650238473768,0.0003
5,1.0747339246853096,0.28640220131630256,1.0244021851295002,0.6221515650337313,0.29505203969639426,0.32497041420118344,0.0042395336512983575,0.0003
6,1.0710942311124008,0.29277975237087983,1.0283670108281688,0.6290408063642424,0.3274786779577673,0.35691318327974275,0.0042395336512983575,0.0003
7,1.0519114954021649,0.3133742261017662,0.9937859803643502,0.6451377865493645,0.3271609873404544,0.33692288649585345,0.0042395336512983575,0.0003
8,1.0477067305117238,0.3192645035883998,0.9788396424822663,0.6504372041504662,0.3530686349681733,0.37749203727733865,0.00688924218335983,0.0003
9,1.0328780572722194,0.3309160742948865,1.0356345056034486,0.6589162705370403,0.3342541252218163,0.3876798668093709,0.012718600953895072,0.0003
10,1.0219669637535724,0.34361385006856493,0.9670158148949021,0.676735562057677,0.328653853683606,0.34794227685729556,0.011658717541070483,0.0003
11,1.0158285357295525,0.35464916302233324,0.985754119857127,0.6312268171982596,0.3589449626440767,0.3639894893179481,0.01377848436671966,0.0003
12,1.0025747400909026,0.3597225407290092,0.9577234125857512,0.6793190272762842,0.3032697167169077,0.336940145185591,0.020137784843667197,0.0003
13,0.9987633637238249,0.36513987620252447,0.9336173465217809,0.7004504533564533,0.34529698219773197,0.38375579176887437,0.028086910439851617,0.0003
14,0.9867267520076172,0.3832406558265546,0.9541158032404663,0.7330418683955704,0.35954606335217254,0.41930835734870314,0.02490726020137785,0.0003
15,0.9938088511551392,0.3768344416486591,0.9420527188817092,0.690116588975869,0.35558525758101867,0.387696335078534,0.03073661897191309,0.0003
16,0.9797894916275285,0.39550848427892576,0.9230652206084308,0.6985956546991163,0.35605471498124563,0.38279978296256106,0.036036036036036036,0.0003
17,0.9764003346502658,0.3890162806969065,0.9502887432386967,0.689785376041101,0.3370515521408226,0.38275998418347174,0.028086910439851617,0.00015
18,0.966954697561603,0.39229821145356836,0.9454333657111575,0.6569952327673184,0.39301179506393114,0.3832777513101477,0.011658717541070483,0.00015
19,0.9606465194182121,0.4036201559548749,0.9200669128426056,0.6711049311427636,0.36602535517034085,0.37064266700469006,0.036036036036036036,0.00015
20,0.956835396394793,0.4064148131367592,0.9162359780335337,0.7166799172308942,0.3533037598383222,0.389087273246679,0.05352411234764176,0.00015
21,0.9570101146385283,0.41306466410204346,0.9515296765339077,0.6649443572263712,0.3902790921542772,0.3849708171206226,0.02384737678855326,7.5e-05
22,0.9435736112598978,0.4092524650582915,0.9218069274525321,0.7182697406128468,0.37091183072160044,0.40708211348110973,0.047164811870694226,7.5e-05
23,0.9427429180822086,0.4153290529490009,0.9216115873012836,0.7017090622874625,0.3643466936271232,0.3900853311661926,0.03709591944886063,7.5e-05
