epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,val_micro_f1,val_exact_match,lr
1,0.9637630979584543,0.49892513189149595,0.8668324521248721,0.7376788557997189,0.4118557424136816,0.42724905987850736,0.07313195548489666,0.0003
2,0.8602360110713703,0.5737216235081883,0.8907346314833035,0.6771330154946574,0.3806363692850183,0.37336076112111083,0.051934287228404874,0.0003
3,0.8280808349673667,0.594832033991841,0.9397343271108424,0.7762321147832785,0.37076536471099864,0.4036016949152542,0.1499735029146794,0.0003
4,0.7876706472013938,0.6207435221279523,0.8153924487163986,0.7815315333004028,0.4017237678427883,0.4440323668240054,0.1505034446210917,0.00015
5,0.7146621137085215,0.6469416417842665,0.8357382508327421,0.7813328037390838,0.44229384851907105,0.4506573473123648,0.15262321144674085,0.00015
6,0.697181848614786,0.6651570740245784,0.8437687043134157,0.7839162699368876,0.4647364050184081,0.48073861827443487,0.15474297827239003,0.00015
7,0.6709002996496968,0.678858060105299,0.7865716245797303,0.7838500281711956,0.4439602031477501,0.46848020850301353,0.1589825119236884,0.00015
8,0.6418294835134374,0.6894634258744368,0.8735070466110804,0.8044515106497332,0.45638111128210845,0.49085891686788546,0.17859035506094328,0.00015
9,0.6201402344060748,0.7057584269799598,0.8591663804266525,0.8137917334779458,0.45342481402550466,0.48788486063035164,0.22522522522522523,7.5e-05
10,0.5753062402838497,0.7200613392107368,0.8268062858336428,0.8219395886038622,0.48570534683849664,0.5242477876106195,0.23052464228934816,7.5e-05
11,0.5499069140854573,0.7370299243566176,0.8656050523374847,0.8202835217505204,0.482381307206208,0.5188863273630077,0.2289348171701113,7.5e-05
12,0.5320023558495707,0.7430061912268735,0.8837877417690992,0.8229332297771901,0.47819611478388757,0.5165491047205643,0.23211446740858505,7.5e-05
13,0.5068696369014457,0.7565208667736758,0.9179001487495411,0.8226020153894207,0.4725296751380738,0.5159074475777295,0.22257551669316375,3.75e-05
14,0.47894493361127344,0.7676135060492526,0.9522439227668963,0.8305511423122586,0.4938110927318568,0.5301249081557678,0.24483306836248012,3.75e-05
15,0.4721950010486875,0.773202820467692,0.9817595947622685,0.8346581884522127,0.4653071507364699,0.5292342512259525,0.2538420773714891,3.75e-05
16,0.46024001377270163,0.7778749139968804,0.9631105210645905,0.8357843150205567,0.49393650429235164,0.5353327085285848,0.2485426603073662,3.75e-05
17,0.4442740661360971,0.7846680807154323,0.9676420540328246,0.8383015385366459,0.4977720463123679,0.5370756684999052,0.2702702702702703,3.75e-05
18,0.432536200737904,0.7933100206921391,0.9642790038401194,0.8334658200234158,0.4921050852609054,0.5283302063789869,0.25172231054583993,3.75e-05
19,0.4267546771945442,0.7965346250996571,1.0146901000411535,0.8420773732264205,0.5135534901040602,0.5415384615384615,0.2676205617382088,3.75e-05
20,0.41653988170558176,0.8003611556572314,1.0343672294874449,0.8355855864068472,0.49693722103169835,0.524885145482389,0.2575516693163752,3.75e-05
21,0.4148556226998998,0.8055921806925017,1.0807407387173484,0.8418124027206711,0.49626327069809856,0.5324980422866092,0.2988871224165342,3.75e-05
22,0.39969560615351046,0.8097913322632424,1.0738221014942135,0.8380365663883733,0.5056218939713435,0.5284474445515911,0.27239003709591947,1.875e-05
23,0.3889410887814749,0.8147930520659492,1.1322001338984262,0.8473105467559803,0.5121602439085469,0.5434739552386612,0.2898781134075252,1.875e-05
24,0.3759370665912698,0.8204540243336871,1.1355706103023677,0.8469130926240861,0.5131913600973906,0.5430096895392525,0.2983571807101219,1.875e-05
